ticker,date,quarter,tone,text_clean,vader_compound,vader_positive,vader_negative,vader_neutral,vader_sent_mean,vader_sent_std,vader_sent_min,vader_sent_max,vader_pct_positive_sents,vader_pct_negative_sents,n_words,n_sentences,avg_sent_length,uncertain_count,uncertain_ratio,positive_count,positive_ratio,negative_count,negative_ratio,negation_count,negation_ratio,forward_count,forward_ratio,fog_index,net_tone,net_tone_ratio,complex_word_ratio,vader_compound_lag,vader_compound_change,vader_sent_mean_lag,vader_sent_mean_change,uncertain_ratio_lag,uncertain_ratio_change,positive_ratio_lag,positive_ratio_change,net_tone_ratio_lag,net_tone_ratio_change,sentiment_regime,regime_shift,year
AAPL,2020-04-01,Q2 2020,positive,"For the quarter ended April 2020, We are pleased to report record revenue demonstrating strong performance across iPhone, Mac, iPad, and our high-margin Services segment. Our gross margin expanded reflecting operational excellence and favorable product mix. We returned significant capital to shareholders through dividends and share repurchases reflecting our confidence in the business. Services reached an all-time high demonstrating the strength of our installed base and ecosystem. We remain confident in our long-term growth trajectory and continue to invest in innovation across all segments globally.",0.981,0.31,0.028,0.662,0.6946,0.0912,0.5574,0.8126,1.0,0.0,94,5,18.8,0,0.0,6,0.0638,0,0.0,0,0.0,1,0.2,19.01,6,0.0638,0.2872,,,,,,,,,,,positive,1,2020
AAPL,2020-07-01,Q3 2020,cautious,"For the quarter ended July 2020, We delivered results in line with our expectations though the environment remains uncertain and challenging in several dimensions. Supply constraints impacted revenue by more than we anticipated. We are carefully managing our cost structure while continuing to invest in areas that will drive future growth. We are monitoring macroeconomic and geopolitical developments carefully and adjusting our outlook accordingly.",0.4588,0.105,0.032,0.863,0.1129,0.2324,-0.1531,0.4767,0.5,0.25,69,4,17.25,2,0.029,1,0.0145,1,0.0145,0,0.0,1,0.25,18.49,-2,-0.029,0.2899,0.981,-0.5222,0.6946,-0.5817,0.0,0.029,0.0638,-0.0493,0.0638,-0.0928,positive,0,2020
AAPL,2020-10-01,Q4 2020,mixed,"For the quarter ended October 2020, Revenue reflects some headwinds from foreign exchange and macroeconomic uncertainty in certain markets. We are monitoring the environment carefully and remain cautious about near-term demand trends particularly in greater China. Despite these challenges our fundamentals remain solid and we are taking appropriate measures to manage costs and protect margins. We believe the near-term pressure is temporary and our long-term opportunity remains compelling and significant.",0.8104,0.206,0.105,0.688,0.3059,0.2301,-0.0772,0.5106,0.75,0.25,75,4,18.75,2,0.0267,3,0.04,1,0.0133,0,0.0,1,0.25,17.63,0,0.0,0.2533,0.4588,0.3516,0.1129,0.193,0.029,-0.0023,0.0145,0.025500000000000002,-0.029,0.029,positive,0,2020
AAPL,2021-01-01,Q1 2021,mixed,"For the quarter ended January 2021, Revenue reflects some headwinds from foreign exchange and macroeconomic uncertainty in certain markets. We are monitoring the environment carefully and remain cautious about near-term demand trends particularly in greater China. Despite these challenges our fundamentals remain solid and we are taking appropriate measures to manage costs and protect margins. We believe the near-term pressure is temporary and our long-term opportunity remains compelling and significant.",0.8104,0.206,0.105,0.688,0.3059,0.2301,-0.0772,0.5106,0.75,0.25,75,4,18.75,2,0.0267,3,0.04,1,0.0133,0,0.0,1,0.25,17.63,0,0.0,0.2533,0.8104,0.0,0.3059,0.0,0.0267,0.0,0.04,0.0,0.0,0.0,positive,0,2021
AAPL,2021-04-01,Q2 2021,positive,"For the quarter ended April 2021, We are pleased to report record revenue demonstrating strong performance across iPhone, Mac, iPad, and our high-margin Services segment. Our gross margin expanded reflecting operational excellence and favorable product mix. We returned significant capital to shareholders through dividends and share repurchases reflecting our confidence in the business. Services reached an all-time high demonstrating the strength of our installed base and ecosystem. We remain confident in our long-term growth trajectory and continue to invest in innovation across all segments globally.",0.981,0.31,0.028,0.662,0.6946,0.0912,0.5574,0.8126,1.0,0.0,94,5,18.8,0,0.0,6,0.0638,0,0.0,0,0.0,1,0.2,19.01,6,0.0638,0.2872,0.8104,0.17059999999999997,0.3059,0.3887,0.0267,-0.0267,0.04,0.023799999999999995,0.0,0.0638,positive,0,2021
AAPL,2021-07-01,Q3 2021,positive,"For the quarter ended July 2021, We are pleased to report record revenue demonstrating strong performance across iPhone, Mac, iPad, and our high-margin Services segment. Our gross margin expanded reflecting operational excellence and favorable product mix. We returned significant capital to shareholders through dividends and share repurchases reflecting our confidence in the business. Services reached an all-time high demonstrating the strength of our installed base and ecosystem. We remain confident in our long-term growth trajectory and continue to invest in innovation across all segments globally.",0.981,0.31,0.028,0.662,0.6946,0.0912,0.5574,0.8126,1.0,0.0,94,5,18.8,0,0.0,6,0.0638,0,0.0,0,0.0,1,0.2,19.01,6,0.0638,0.2872,0.981,0.0,0.6946,0.0,0.0,0.0,0.0638,0.0,0.0638,0.0,positive,0,2021
AAPL,2021-10-01,Q4 2021,positive,"For the quarter ended October 2021, We are pleased to report record revenue demonstrating strong performance across iPhone, Mac, iPad, and our high-margin Services segment. Our gross margin expanded reflecting operational excellence and favorable product mix. We returned significant capital to shareholders through dividends and share repurchases reflecting our confidence in the business. Services reached an all-time high demonstrating the strength of our installed base and ecosystem. We remain confident in our long-term growth trajectory and continue to invest in innovation across all segments globally.",0.981,0.31,0.028,0.662,0.6946,0.0912,0.5574,0.8126,1.0,0.0,94,5,18.8,0,0.0,6,0.0638,0,0.0,0,0.0,1,0.2,19.01,6,0.0638,0.2872,0.981,0.0,0.6946,0.0,0.0,0.0,0.0638,0.0,0.0638,0.0,positive,0,2021
AAPL,2022-01-01,Q1 2022,mixed,"For the quarter ended January 2022, Revenue reflects some headwinds from foreign exchange and macroeconomic uncertainty in certain markets. We are monitoring the environment carefully and remain cautious about near-term demand trends particularly in greater China. Despite these challenges our fundamentals remain solid and we are taking appropriate measures to manage costs and protect margins. We believe the near-term pressure is temporary and our long-term opportunity remains compelling and significant.",0.8104,0.206,0.105,0.688,0.3059,0.2301,-0.0772,0.5106,0.75,0.25,75,4,18.75,2,0.0267,3,0.04,1,0.0133,0,0.0,1,0.25,17.63,0,0.0,0.2533,0.981,-0.17059999999999997,0.6946,-0.3887,0.0,0.0267,0.0638,-0.023799999999999995,0.0638,-0.0638,positive,0,2022
AAPL,2022-04-01,Q2 2022,mixed,"For the quarter ended April 2022, Revenue reflects some headwinds from foreign exchange and macroeconomic uncertainty in certain markets. We are monitoring the environment carefully and remain cautious about near-term demand trends particularly in greater China. Despite these challenges our fundamentals remain solid and we are taking appropriate measures to manage costs and protect margins. We believe the near-term pressure is temporary and our long-term opportunity remains compelling and significant.",0.8104,0.206,0.105,0.688,0.3059,0.2301,-0.0772,0.5106,0.75,0.25,75,4,18.75,2,0.0267,3,0.04,1,0.0133,0,0.0,1,0.25,17.63,0,0.0,0.2533,0.8104,0.0,0.3059,0.0,0.0267,0.0,0.04,0.0,0.0,0.0,positive,0,2022
AAPL,2022-07-01,Q3 2022,mixed,"For the quarter ended July 2022, Revenue reflects some headwinds from foreign exchange and macroeconomic uncertainty in certain markets. We are monitoring the environment carefully and remain cautious about near-term demand trends particularly in greater China. Despite these challenges our fundamentals remain solid and we are taking appropriate measures to manage costs and protect margins. We believe the near-term pressure is temporary and our long-term opportunity remains compelling and significant.",0.8104,0.206,0.105,0.688,0.3059,0.2301,-0.0772,0.5106,0.75,0.25,75,4,18.75,2,0.0267,3,0.04,1,0.0133,0,0.0,1,0.25,17.63,0,0.0,0.2533,0.8104,0.0,0.3059,0.0,0.0267,0.0,0.04,0.0,0.0,0.0,positive,0,2022
