ticker,date,quarter,year,tone,text,word_count,source,company,sector
AAPL,2020-04-01,Q2 2020,2020,positive,"For the quarter ended April 2020, We are pleased to report record revenue demonstrating strong performance across iPhone, Mac, iPad, and our high-margin Services segment. Our gross margin expanded reflecting operational excellence and favorable product mix. We returned significant capital to shareholders through dividends and share repurchases reflecting our confidence in the business. Services reached an all-time high demonstrating the strength of our installed base and ecosystem. We remain confident in our long-term growth trajectory and continue to invest in innovation across all segments globally.",85,synthetic,Apple Inc.,Technology
AAPL,2020-07-01,Q3 2020,2020,cautious,"For the quarter ended July 2020, We delivered results in line with our expectations though the environment remains uncertain and challenging in several dimensions. Supply constraints impacted revenue by more than we anticipated. We are carefully managing our cost structure while continuing to invest in areas that will drive future growth. We are monitoring macroeconomic and geopolitical developments carefully and adjusting our outlook accordingly.",64,synthetic,Apple Inc.,Technology
AAPL,2020-10-01,Q4 2020,2020,mixed,"For the quarter ended October 2020, Revenue reflects some headwinds from foreign exchange and macroeconomic uncertainty in certain markets. We are monitoring the environment carefully and remain cautious about near-term demand trends particularly in greater China. Despite these challenges our fundamentals remain solid and we are taking appropriate measures to manage costs and protect margins. We believe the near-term pressure is temporary and our long-term opportunity remains compelling and significant.",70,synthetic,Apple Inc.,Technology
AAPL,2021-01-01,Q1 2021,2021,mixed,"For the quarter ended January 2021, Revenue reflects some headwinds from foreign exchange and macroeconomic uncertainty in certain markets. We are monitoring the environment carefully and remain cautious about near-term demand trends particularly in greater China. Despite these challenges our fundamentals remain solid and we are taking appropriate measures to manage costs and protect margins. We believe the near-term pressure is temporary and our long-term opportunity remains compelling and significant.",70,synthetic,Apple Inc.,Technology
AAPL,2021-04-01,Q2 2021,2021,positive,"For the quarter ended April 2021, We are pleased to report record revenue demonstrating strong performance across iPhone, Mac, iPad, and our high-margin Services segment. Our gross margin expanded reflecting operational excellence and favorable product mix. We returned significant capital to shareholders through dividends and share repurchases reflecting our confidence in the business. Services reached an all-time high demonstrating the strength of our installed base and ecosystem. We remain confident in our long-term growth trajectory and continue to invest in innovation across all segments globally.",85,synthetic,Apple Inc.,Technology
AAPL,2021-07-01,Q3 2021,2021,positive,"For the quarter ended July 2021, We are pleased to report record revenue demonstrating strong performance across iPhone, Mac, iPad, and our high-margin Services segment. Our gross margin expanded reflecting operational excellence and favorable product mix. We returned significant capital to shareholders through dividends and share repurchases reflecting our confidence in the business. Services reached an all-time high demonstrating the strength of our installed base and ecosystem. We remain confident in our long-term growth trajectory and continue to invest in innovation across all segments globally.",85,synthetic,Apple Inc.,Technology
AAPL,2021-10-01,Q4 2021,2021,positive,"For the quarter ended October 2021, We are pleased to report record revenue demonstrating strong performance across iPhone, Mac, iPad, and our high-margin Services segment. Our gross margin expanded reflecting operational excellence and favorable product mix. We returned significant capital to shareholders through dividends and share repurchases reflecting our confidence in the business. Services reached an all-time high demonstrating the strength of our installed base and ecosystem. We remain confident in our long-term growth trajectory and continue to invest in innovation across all segments globally.",85,synthetic,Apple Inc.,Technology
AAPL,2022-01-01,Q1 2022,2022,mixed,"For the quarter ended January 2022, Revenue reflects some headwinds from foreign exchange and macroeconomic uncertainty in certain markets. We are monitoring the environment carefully and remain cautious about near-term demand trends particularly in greater China. Despite these challenges our fundamentals remain solid and we are taking appropriate measures to manage costs and protect margins. We believe the near-term pressure is temporary and our long-term opportunity remains compelling and significant.",70,synthetic,Apple Inc.,Technology
AAPL,2022-04-01,Q2 2022,2022,mixed,"For the quarter ended April 2022, Revenue reflects some headwinds from foreign exchange and macroeconomic uncertainty in certain markets. We are monitoring the environment carefully and remain cautious about near-term demand trends particularly in greater China. Despite these challenges our fundamentals remain solid and we are taking appropriate measures to manage costs and protect margins. We believe the near-term pressure is temporary and our long-term opportunity remains compelling and significant.",70,synthetic,Apple Inc.,Technology
AAPL,2022-07-01,Q3 2022,2022,mixed,"For the quarter ended July 2022, Revenue reflects some headwinds from foreign exchange and macroeconomic uncertainty in certain markets. We are monitoring the environment carefully and remain cautious about near-term demand trends particularly in greater China. Despite these challenges our fundamentals remain solid and we are taking appropriate measures to manage costs and protect margins. We believe the near-term pressure is temporary and our long-term opportunity remains compelling and significant.",70,synthetic,Apple Inc.,Technology
